,Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,DC/S,CT/S,CP/S,L1/S,L2/S,L3/S,L4/S,L5/S,L6/S,VP/S,NP/S,PP/S,Avg_NP,Avg_PP,Avg_VP,Sbar/S,treeH/S,W/S,letter/W,Syl/W,NV,VV1,svv,cvv,advvv,adjvv,LD,ttr,rttr,cttr,bttr,uber,awlF,ari,aspw,cole_l_i,dale_c_r,diff_w,flesch_k_g,flesch_e_r,gun_fog,lexi_c,linsear_w,li_x
10,781.txt,408,40,69,54,38,16,10,5,51,10.2,10.7368,7.5556,1.35,1.8158,1.4211,0.2963,0.4211,0.95,0.2632,0.1316,0.0926,1.3421,0.9444,0.4,0.25,0.125,3.45,2.0,0.925,0.275,0.0,0.0,2.0425531915,3.4042553191000002,0.8510638298000001,2.5625,2.5625,2.5625,0.34042553189999997,8.659574468099999,12.0263157895,4.1225382932,1.3763676149000001,0.465648855,0.2938931298,22.629770992399997,3.3637606181,0.0419847328,0.1526717557,0.5470459518999999,0.5733041575,12.2558430668,8.6661897417,0.9091644659,55.7330455046,0.0087527352297593,6.8,1.3,9.78,7.13,0.16630196936542668,3.7,86.71,13.581047381546137,401,3.8499999999999996,31.64179104477612
11,724.txt,159,14,23,19,10,7,4,4,15,11.3571,15.9,8.3684,1.3571,2.3,1.9,0.3684,0.7,0.7143,0.4,0.4,0.2105,1.5,0.7895,0.5,0.2857142857,0.2857142857,3.3571428571,2.2857142857,1.3571428571000002,0.3571428571,0.0,0.0,1.9375,4.0,0.8125,3.265625,3.265625,3.265625,0.4375,9.875,12.4285714286,3.8218390805,1.3620689655000002,0.43518518520000005,0.25,6.75,1.8371173071,0.0462962963,0.1574074074,0.5517241379,0.6206896552000001,8.1874588707,5.7894076881,0.9075559294,45.966127756800006,0.017241379310344827,6.8,1.3,9.66,6.98,0.14942528735632185,3.8,86.3,13.332413793103449,145,3.590909090909091,32.46896551724138
12,591.txt,151,13,20,16,12,5,3,7,16,11.6154,12.5833,9.4375,1.2308,1.6667,1.3333,0.3125,0.4167,0.9231,0.25,0.5833,0.4375,1.3333,1.0,0.3846153846,0.23076923079999997,0.5384615385,4.7692307692,2.0,1.7692307691999998,0.23076923079999997,0.0,0.0,2.2857142857,4.0714285714,1.0714285714,3.2280701754,3.2280701754,3.2280701754,0.42857142859999997,8.9285714286,12.7692307692,4.1385542169,1.4036144578,0.49532710280000003,0.2056074766,4.523364486,1.5038890395,0.0093457944,0.0934579439,0.5180722892,0.6445783132999999,8.3048106251,5.8723879094,0.9140923312,49.720788162299996,0.018072289156626505,7.5,1.4,9.9,7.66,0.1927710843373494,5.7,75.91,15.56864864864865,148,5.3125,34.44765100671141
13,102.txt,235,16,36,27,14,12,7,8,37,14.6875,16.7857,8.7037,1.6875,2.5714,1.9286,0.4444,0.8571,0.875,0.5,0.5714,0.2963,2.6429,1.3704,0.75,0.4375,0.5,4.125,3.0,1.8125,0.875,0.0,0.0,2.5555555556,5.4444444444,1.2222222222,3.5408163265,3.5408163265,3.5408163265,0.6111111111,10.1111111111,16.5625,4.1056603774000004,1.3924528302,0.6201550388,0.31782945739999996,13.0310077519,2.5525485061,0.0542635659,0.1472868217,0.5547169811,0.4867924528,7.9244070072,5.6034019316,0.8709762938,32.806230126100004,0.045283018867924525,9.3,1.3,10.84,7.41,0.1660377358490566,5.8,81.22,15.77904761904762,231,6.0,37.04502164502165
14,228.txt,203,23,32,26,23,3,2,8,18,8.8261,8.8261,7.8077,1.1304,1.3913,1.1304,0.1154,0.1304,1.0,0.087,0.3478,0.3077,0.7826,0.6923,0.1304347826,0.0869565217,0.347826087,3.1304347826,2.1739130435,0.9130434783,0.2608695652,0.0,0.0,1.9583333333000001,2.875,0.875,2.5217391304,2.5217391304,2.5217391304,0.20833333329999998,8.3333333333,9.7916666667,3.6808510638,1.3319148936,0.3481481481,0.2962962963,11.851851851900001,2.4343224778,0.08148148150000001,0.0740740741,0.4595744681,0.5744680851,8.8064289862,6.2270856542,0.8984701798,43.4083612351,0.0,5.4,1.3,8.15,6.51,0.1276595744680851,3.7,86.71,12.030150753768844,199,3.454545454545454,29.5
15,768.txt,138,11,20,19,11,6,5,3,14,12.5455,12.5455,7.2632,1.7273,1.8182,1.7273,0.3158,0.5455,1.0,0.4545,0.2727,0.1579,1.2727,0.7368,0.5454545454999999,0.45454545450000006,0.2727272727,4.090909090899999,2.3636363636,1.0,0.45454545450000006,0.0,0.0,1.8571428571000002,3.9285714286,0.8571428570999999,2.7272727273000004,2.7272727273000004,2.7272727273000004,0.42857142859999997,8.9285714286,13.083333333299999,3.8980891719999997,1.4076433121,0.3888888889,0.25,6.75,1.8371173071,0.06481481480000001,0.1203703704,0.5668789809,0.6878980892000001,8.6193383523,6.094792598200001,0.9260094163,58.5979646452,0.0,6.3,1.4,9.49,7.18,0.16560509554140126,4.7,78.65,13.601194029850745,134,3.2727272727272725,28.85925925925926
16,672.txt,417,41,66,57,41,14,11,6,45,10.1707,10.1707,7.3158,1.3902,1.6098,1.3902,0.2456,0.3415,1.0,0.2683,0.1463,0.1053,1.0976,0.7895,0.3414634146,0.26829268289999997,0.1463414634,3.0487804877999998,2.3658536585,1.1463414634,0.21951219510000003,0.0,0.0,2.0222222222,3.5777777777999997,1.0444444444,2.7080745342,2.7080745342,2.7080745342,0.3111111111,8.8,11.55,4.0108225108,1.3722943722999998,0.4478764479,0.3088803089,24.710424710399998,3.5149982013,0.0579150579,0.16216216220000002,0.5476190476,0.5606060606000001,12.0497705247,8.5204744497,0.9056750536,53.354714163000004,0.010822510822510822,6.4,1.3,9.25,6.8,0.1471861471861472,3.7,86.6,12.772673267326732,404,3.55,31.035960591133005
17,747.txt,163,14,25,19,14,3,3,3,16,11.6429,11.6429,8.5789,1.3571,1.7857,1.3571,0.1579,0.2143,1.0,0.2143,0.2143,0.1579,1.1429,0.8421,0.21428571429999999,0.21428571429999999,0.21428571429999999,4.7142857143,3.2857142857,0.6428571429,0.21428571429999999,0.0,0.0,2.8666666667,3.8666666667,1.4,2.6379310344999998,2.6379310344999998,2.6379310344999998,0.2,10.3333333333,13.7692307692,4.0055865922,1.4189944134,0.3982300885,0.27433628320000003,8.5044247788,2.0620893262,0.0353982301,0.1327433628,0.530726257,0.6312849161999999,8.4460165481,5.9722355752,0.9113237372,48.583246478999996,0.0,6.5,1.4,8.91,7.18,0.16759776536312848,5.4,76.82,14.107169811320757,159,4.8125,32.78364779874214
18,166.txt,274,27,50,39,27,10,9,6,34,10.1481,10.1481,7.0256,1.4444,1.8519,1.4444,0.2564,0.3704,1.0,0.3333,0.2222,0.1538,1.2593,0.8718,0.3703703704,0.3333333333,0.22222222219999999,3.5185185185,1.7037037037,1.037037037,0.14814814810000002,0.0,0.0,2.5185185185,3.6666666667000003,0.7407407407,2.9191919192,2.9191919192,2.9191919192,0.40740740740000003,9.2592592593,12.037037037000001,3.9846153845999996,1.4492307692,0.5333333333,0.37575757579999997,23.296969696999998,3.4129876719,0.0787878788,0.17575757579999998,0.5907692308,0.5076923077000001,9.1525532377,6.471832459600001,0.8827973379,38.4591526465,0.006153846153846154,8.3,1.4,11.58,7.2,0.15692307692307692,5.1,77.64,13.93811320754717,265,3.590909090909091,40.033962264150944
19,673.txt,171,13,23,16,13,5,3,5,18,13.1538,13.1538,10.6875,1.2308,1.7692,1.2308,0.3125,0.3846,1.0,0.2308,0.3846,0.3125,1.3846,1.125,0.3846153846,0.23076923079999997,0.3846153846,5.3846153846,2.9230769231,1.0,0.1538461538,0.0,0.0,2.4,3.7333333332999996,1.2,2.875,2.875,2.875,0.3333333333,9.3333333333,13.642857142899999,3.5497382199,1.3141361257,0.4491525424,0.23728813559999998,6.6440677966,1.8226447537000001,0.0423728814,0.1271186441,0.5287958115,0.6178010471000001,8.5381803425,6.0374052191,0.9083085048,47.259055062899996,0.0,4.7,1.3,7.33,6.36,0.12041884816753927,3.5,87.21,11.514285714285714,161,4.5,23.27245508982036
20,143.txt,228,24,39,34,24,8,7,4,25,9.5,9.5,6.7059,1.4167,1.625,1.4167,0.2353,0.3333,1.0,0.2917,0.1667,0.1176,1.0417,0.7353,0.3333333333,0.2916666667,0.1666666667,3.9583333332999997,2.4583333333,0.875,0.2916666667,0.0,0.0,2.12,3.2,0.6,2.4125,2.4125,2.4125,0.36,8.84,11.291666666700001,3.4280442804000004,1.2583025829999999,0.3870967742,0.3032258065,14.2516129032,2.669420621,0.12258064519999999,0.1935483871,0.5756457564999999,0.5719557196,9.4155794581,6.6578200836,0.9002710006999999,45.5278746291,0.0036900369003690036,4.4,1.2,7.17,5.75,0.08487084870848709,2.4,95.47,10.024144144144145,222,3.6818181818181817,23.663963963963965
21,775.txt,169,18,26,23,18,4,4,5,22,9.3889,9.3889,7.3478,1.2778,1.4444,1.2778,0.1739,0.2222,1.0,0.2222,0.2778,0.2174,1.2222,0.9565,0.22222222219999999,0.22222222219999999,0.2777777778,3.2777777778,1.6666666666999999,0.9444444444,0.2777777778,0.0,0.0,1.7894736841999999,3.7368421052999996,0.8947368420999999,3.0845070423000003,3.0845070423000003,3.0845070423000003,0.3157894737,8.6842105263,10.833333333299999,3.7384615385,1.3435897436000002,0.4583333333,0.23333333329999997,6.533333333300001,1.8073922282,0.05,0.15,0.5487179487,0.6153846154,8.5933784885,6.0764362025,0.9079256862,47.2084618253,0.015384615384615385,5.5,1.3,8.49,7.28,0.16923076923076924,3.3,87.62,13.738159509202454,163,2.875,29.831707317073167
22,238.txt,161,17,28,22,17,5,4,4,17,9.4706,9.4706,7.3182,1.2941,1.6471,1.2941,0.2273,0.2941,1.0,0.2353,0.2353,0.1818,1.0,0.7727,0.2941176471,0.23529411760000002,0.23529411760000002,3.2352941176,1.8823529412,1.5294117647,0.3529411765,0.0,0.0,2.4117647059,3.3529411765,0.7058823529000001,2.5964912281,2.5964912281,2.5964912281,0.2941176471,8.8235294118,10.882352941199999,3.7621621622,1.4378378378,0.45871559630000003,0.3119266055,10.6055045872,2.302770569,0.027522935800000002,0.119266055,0.5405405405,0.5891891892,8.0138393808,5.666640169500001,0.8986643898000001,41.6038081273,0.0,4.6,1.4,7.22,7.34,0.1783783783783784,4.6,78.75,13.998757763975156,161,3.7727272727272725,29.375776397515526
23,79.txt,88,10,13,10,10,0,0,1,8,8.8,8.8,8.8,1.0,1.3,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.8,0.8,0.0,0.0,0.1,2.4,2.7,0.9,0.2,0.1,0.0,1.4,2.8,0.9,3.2142857143,3.2142857143,3.2142857143,0.0,8.5,9.8,4.4897959184,1.5612244897999998,0.43333333329999996,0.2166666667,2.8166666667,1.1867322079,0.05,0.2166666667,0.5612244898,0.6122448979999999,6.0609152673,4.2857142857,0.8929931524,34.168109218299996,0.0,7.9,1.6,11.68,7.3,0.1836734693877551,6.7,62.54,13.701818181818183,88,3.1500000000000004,31.527272727272727
24,500.txt,150,16,17,18,16,2,2,3,19,9.375,9.375,8.3333,1.125,1.0625,1.125,0.1111,0.125,1.0,0.125,0.1875,0.1667,1.1875,1.0556,0.125,0.125,0.1875,3.5625,1.8125,0.9375,0.1875,0.0,0.0,1.625,3.5625,1.125,3.0701754386,3.0701754386,3.0701754386,0.125,8.375,11.1333333333,3.6886227545,1.3832335328999998,0.40909090909999996,0.2090909091,4.8090909091,1.5506596837,0.0727272727,0.15454545449999998,0.5568862275,0.6586826347,8.5120555579,6.0189322068,0.9184224401000001,52.91929121770001,0.011976047904191617,4.1,1.3,6.59,7.13,0.16766467065868262,3.6,86.91,13.53904761904762,147,3.95,24.765986394557824
25,26.txt,224,15,34,23,15,8,6,6,24,14.9333,14.9333,9.7391,1.5333,2.2667,1.5333,0.3478,0.5333,1.0,0.4,0.4,0.2609,1.6,1.0435,0.5333333333,0.4,0.4,5.533333333300001,4.6,1.5333333333,0.4,0.0,0.0,2.3333333333,2.9583333332999997,0.875,2.4929577465,2.4929577465,2.4929577465,0.20833333329999998,9.0,16.6666666667,3.928,1.328,0.37254901960000003,0.2679738562,10.9869281046,2.3438139969,0.0392156863,0.1241830065,0.49200000000000005,0.612,9.6765696401,6.8423680111000005,0.9110700947,51.5358870418,0.004,7.7,1.3,8.81,7.0,0.148,5.6,81.73,14.596771300448431,223,5.857142857142857,34.542857142857144
26,246.txt,145,14,26,18,15,4,4,1,14,10.3571,9.6667,8.0556,1.2857,1.7333,1.2,0.2222,0.2667,1.0714,0.2667,0.0667,0.0556,0.9333,0.7778,0.2857142857,0.2857142857,0.0714285714,3.2857142857,2.5714285714,0.6428571429,0.3571428571,0.0,0.0,2.6666666667,3.3333333332999997,0.7333333333,2.54,2.54,2.54,0.2666666667,9.3333333333,12.6153846154,3.8109756098000003,1.3658536584999998,0.3982300885,0.2920353982,9.6371681416,2.1951273472999997,0.026548672599999996,0.12389380529999999,0.5792682927,0.6890243902,8.823817546699999,6.2393812232000005,0.9269630657,59.9986013742,0.03048780487804878,5.6,1.3,8.38,7.39,0.17682926829268292,3.7,86.6,14.26695035460993,141,3.9000000000000004,26.41205673758865
27,205.txt,191,13,27,21,13,7,5,4,17,14.6923,14.6923,9.0952,1.6154,2.0769,1.6154,0.3333,0.5385,1.0,0.3846,0.3077,0.1905,1.3077,0.8095,0.5384615385,0.3846153846,0.3076923077,5.3846153846,2.3846153846,1.3846153846,0.6153846154,0.0,0.0,3.8571428571,4.5714285714,1.2857142857,2.546875,2.546875,2.546875,0.5,11.0714285714,18.0833333333,3.8110599078,1.3870967741999998,0.40769230770000003,0.3307692308,14.223076923099999,2.6667467937000002,0.0692307692,0.09230769230000001,0.5391705069,0.599078341,8.8249750329,6.240199689600001,0.9047634426000001,46.24240257,0.004608294930875576,7.7,1.4,9.27,7.58,0.17511520737327188,6.5,73.98,15.896216216216215,185,4.75,32.47956989247312
28,30.txt,246,18,34,24,18,7,5,12,27,13.6667,13.6667,10.25,1.3333,1.8889,1.3333,0.2917,0.3889,1.0,0.2778,0.6667,0.5,1.5,1.125,0.3888888889,0.2777777778,0.6666666667,4.3888888888999995,2.5,1.7222222222,0.11111111109999999,0.0,0.0,2.8571428571,4.7142857143,1.1904761904999999,2.3030303030000003,2.3030303030000003,2.3030303030000003,0.2857142857,9.9523809524,15.277777777799999,3.9490909091,1.3527272727000001,0.6242038217,0.2993630573,14.0700636943,2.6523634455000002,0.0636942675,0.09554140130000001,0.6181818182,0.5709090909000001,9.4674562197,6.6945024936,0.9002050675,45.6101125042,0.0036363636363636364,7.2,1.3,9.04,7.1,0.15636363636363637,5.0,83.15,14.478189300411524,243,4.444444444444445,29.96090534979424
29,496.txt,138,15,23,22,16,4,4,4,12,9.2,8.625,6.2727,1.4667,1.4375,1.375,0.1818,0.25,1.0667,0.25,0.25,0.1818,0.75,0.5455,0.2666666667,0.2666666667,0.2666666667,3.1333333333,1.1333333333,0.8,0.2,0.0,0.0,1.5882352941,3.4117647058999996,1.0588235294,2.5862068966,2.5862068966,2.5862068966,0.23529411760000002,8.4117647059,11.333333333299999,3.4470588235000004,1.3705882353,0.3486238532,0.2752293578,8.2568807339,2.0318563844,0.0183486239,0.0917431193,0.4705882353,0.6411764706,8.3599183784,5.911354975599999,0.9134602808,49.5189953379,0.0058823529411764705,5.8,1.4,9.07,8.17,0.2,4.3,79.56,15.861679389312977,131,3.083333333333333,33.512030075187965
30,309.txt,269,28,38,33,28,5,5,5,29,9.6071,9.6071,8.1515,1.1786,1.3571,1.1786,0.1515,0.1786,1.0,0.1786,0.1786,0.1515,1.0357,0.8788,0.1785714286,0.1785714286,0.1785714286,3.1428571429,2.75,0.8214285714,0.32142857140000003,0.0714285714,0.0,1.7419354838999999,3.2903225806,0.6774193548,2.7549019608,2.7549019608,2.7549019608,0.1935483871,8.2258064516,10.6551724138,3.9029126214,1.427184466,0.5782312925,0.3265306122,15.673469387799999,2.7994168489,0.061224489800000004,0.1836734694,0.5469255663,0.4757281553,8.3625378226,5.913207202300001,0.8704230824,33.5228511046,0.016181229773462782,5.7,1.4,8.73,6.41,0.1262135922330097,4.6,78.75,11.642696629213484,267,2.9583333333333335,31.433085501858734
31,647.txt,153,14,19,17,14,1,1,3,19,10.9286,10.9286,9.0,1.2143,1.3571,1.2143,0.0588,0.0714,1.0,0.0714,0.2143,0.1765,1.3571,1.1176,0.0714285714,0.0714285714,0.21428571429999999,3.7857142857,1.5,1.5,0.14285714289999998,0.14285714289999998,0.0,1.5882352941,4.2352941176,1.0,3.1666666667000003,3.1666666667000003,3.1666666667000003,0.058823529400000005,8.2352941176,12.2857142857,3.9709302325999998,1.4825581394999998,0.4851485149,0.2376237624,5.702970297,1.6886341074000002,0.0198019802,0.14851485150000002,0.523255814,0.5872093023,7.701177801799999,5.445555046799999,0.8965760988,40.008225394899995,0.0,6.7,1.5,9.78,8.08,0.21511627906976744,6.0,69.89,15.96,148,3.454545454545454,37.9
32,556.txt,318,32,49,46,33,11,11,3,45,9.9375,9.6364,6.912999999999999,1.4375,1.4848,1.3939,0.2391,0.3333,1.0312,0.3333,0.0909,0.0652,1.3636,0.9783,0.34375,0.34375,0.09375,3.34375,2.09375,0.84375,0.1875,0.0,0.0,1.5714285713999998,2.880952381,0.6190476189999999,2.9504132231,2.9504132231,2.9504132231,0.21428571429999999,8.1666666667,11.612903225799998,3.8833333333,1.4388888888999998,0.46632124350000004,0.3005181347,17.4300518135,2.9521222716000004,0.07253886009999999,0.19689119170000002,0.5555555556,0.5361111111,10.1719931402,7.1926853276,0.8940871858,44.4261999562,0.002777777777777778,5.9,1.3,8.96,6.3,0.11944444444444445,3.5,87.01,11.410546623794213,311,3.454545454545454,27.795238095238094
33,110.txt,109,9,11,6,9,0,0,6,14,12.1111,12.1111,18.1667,0.6667,1.2222,0.6667,0.0,0.0,1.0,0.0,0.6667,1.0,1.5556,2.3333,0.0,0.0,0.6666666667,4.5555555556,2.4444444444,1.5555555556,0.44444444439999997,0.0,0.0,1.8888888889,4.4444444444,1.8888888889,3.3,3.3,3.3,0.0,9.1111111111,13.333333333299999,3.8833333333,1.325,0.4430379747,0.2278481013,4.101265822799999,1.4320031115,0.0,0.10126582279999999,0.5083333333,0.6583333333,7.211680340499999,5.0994280725,0.9126799767,45.6700240758,0.025,5.6,1.3,7.76,7.45,0.18333333333333332,4.4,84.68,14.948148148148148,108,5.1875,29.59259259259259
34,351.txt,171,15,23,21,15,4,4,3,18,11.4,11.4,8.1429,1.4,1.5333,1.4,0.1905,0.2667,1.0,0.2667,0.2,0.1429,1.2,0.8571,0.2666666667,0.2666666667,0.2,4.1333333332999995,2.0,0.8666666667,0.2,0.1333333333,0.0,1.8235294118,3.4705882352999997,0.8823529412000001,2.7627118644,2.7627118644,2.7627118644,0.23529411760000002,8.1176470588,13.9285714286,3.9846153845999996,1.3897435897,0.41935483869999995,0.2016129032,5.0403225806,1.5875015875,0.0564516129,0.1612903226,0.5333333333,0.6358974359,8.8798244381,6.2789840759,0.9141441245999999,51.323593789300006,0.005128205128205128,7.3,1.3,9.79,7.51,0.1794871794871795,4.5,84.57,15.124023668639055,169,5.0,35.176923076923075
